text,label
Then maybe it 's possible that female circumcision is no worse than male circumcision if done in the way you explained .,0
Alba,0
TRUTH NO LIE .,0
You would be luckey to see a real Irish person on the TV these days ..,0
Travel through the USA 5 .,0
"Actually, They will be raised by there mother along with their father , the US government .",0
Let 's see it get down to zero !,0
"And did anyone notice that the least diverse college , on that list , is a Jewish one ?",0
Not just encouraging but actuallly paying them bonuses .... so a black managers in state service gets his bonus determined on how few white employees he has,0
And here 's what David Irving 's site offers on Hitler 's Table Talks .,1
surely gotta be more than that. town to town you see minority whites. - if whites are supposed to be at least 70million - its a very hard way of showing it,0
Black Student Protesters Beaten By White Students At South African University Rugby Match Okayafrica .,0
It's indeed a conspiracy theory that insists Whites work together to hold Black people down to benefit Whites in some way .,0
The comparison between the Belgian and `` American '' school is revealing .,0
So there white and there against racism or they like monorities against whites ?,0
I dont want a black guy or any one that isnt white and my friends dont either you must be going for the wrong girls .,0
That 's it I slag off anyone who did n't vote BNP or NF .,1
I was begininning to feel alone out here in SoCal !,0
The Government are now judging if they should be granted permanent residency .,0
No need to invite the foreign hordes onto your own soil ! : bang shead : My head hurts now .,3
"Little Miss Little Miss Muffet sat on a tuffet Eating a Big Mac and fries Along came a spider and sat down beside her ' Yuck ' , it said , ' I prefer flies ' .",0
And the weak may leave the Folk at a time of their choosing .,0
I think it 's because whites see Asians to be most like us of any other race .,0
CF,0
"Yes, there some real GOOD places to live .",0
"Every word , the truth .",0
Aw c 'mon Hillary is a babe .,0
"Notice the video title , whenever there is a fight between a white and non white , the white is always the racist",0
I hear Liberia is nice this time of the year .,0
So are you African then ?,0
Arthur Kemp over exaggerates their role in almost every civilization .,0
"I read recently in cold black and white print that there was around 10,000 nigerians in Ireland ... Now you say close to 300,000 ????!",0
I 'm literally a 50/50 split Irish / German,0
Back to where ya came from !,1
The high levels of immigration there was one of the reasons why I moved out of that town .,0
Guess we Yanks gave them a hel-uva attitude adjustment at Hiroshima .,0
Sub 70 I.Q. I would say for sure .,1
2 .,0
"Show us that your proud to be white , not black .",0
It is a noble idea but I would rather stay here in mostly white Missouri then move to 35 % black South Carolina .,0
Maaaaany pinders and Asians here ......,3
I thought it was like a tranny that slept with 200 men !,0
Are ira fighting for WHITE Irish exclusively and a WHITE future for Ireland or is it all the same to them ?,0
Pride of race or government .,0
yes it is dying down the only way we could beat our problem is by voting for BNP in the next election,0
"Oh yeah , no mugshot picture on the page of course , you have to watch the video report to find out it was yet another case of TNB .",1
"Pakkis is common slang nickname for arabs in general , with a original link to Pakistani immigrants .",0
"Words of old wisdom , `` proverbs '' : `` Paljon puhetta , vähän villoja '' - ( context : shearing ) `` Lot ´ s of talk , few of wool '' ( meaning : shut up and do your work ) `` Missä paljon puhetta , sieltä totuus kaukana '' - ( context : universal ) "" , Truth is far away , where there ´ s much speech "" ( meaning : blabbering for vanitys sake is not only useless but also a sin )",0
https://www.stormfront.org/forum/t1020784/ https : //www.stormfront.org/forum/t102 ... ghlight = sweden https : //www.stormfront.org/forum/t102 ... ghlight = sweden https : //www.stormfront.org/forum/t101 ... ghlight = sweden https : //www.stormfront.org/forum/t101 ... ghlight = sweden https : //www.stormfront.org/forum/t100 ... ghlight = sweden https : //www.stormfront.org/forum/t100 ... ghlight = sweden https : //www.stormfront.org/forum/t100 ... ghlight = sweden God save them .....,1
Most probably the next generation Whites wont have much difference from the native population !,0
More like Hongcouver ?,0
They wo n't talk to me anymore and I wo n't go to church with them anymore .,0
"Black hair is fairly common amongst the Irish , whereas black people are n't .",0
"After 7 , the kids from the poor neighborhoods start showing up ( usually poor blacks ) .",0
The above poster is correct when we stop supporting then they 're in terrible danger .,0
From your post it seems you see no future for SA or any other white country ?,0
That is only when they began speaking English as a majority .,0
I know its like a hide and go seek game this white flight stuff .,0
More info in the Ethnic Crime Report .,0
Can you imagine the hell this young girl went through and for how long .,0
Half white and half white would probably be ok with me .,0
Visit http://HolocaustHandbooks.com today,0
Enough is enough .,0
"Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines YouTube - Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full interview @ Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines : Free Download & Streaming : Internet Archive www.DrDay.com www.GoodNewsAboutGod.com",1
"dancing Armenians , if sombody can find any non white Armenian , i bid i 'll eat yelow pages without cooking !",0
Perfection .,0
We are badly outnumbered .,0
"Started the defeat of the Soviet Union , and now leaders in the fight against Islam !",0
Most of them do n't care either .,0
He of all people should have known to what extent the Federal Government will go to have people like him thrown in prison .,0
I would probably be French instead of American .,0
"Besides that , there 's the Transnistria issue to be solved and the hard fact that Romania simply does not have the economical power to accomplish such a re-unification .",0
II .,2
Another example of affirmative action gone bad !,0
"Also all the East European countries ( Chezch Republic , Poland , Slovakia , Finland etc ) are 99,99 % white .",0
White Americans and White Europeons have too few children .,0
Virtually all means ~ 100 % .,0
Absolutely ridiculous .,0
"Oh, you 'd better believe they do .",0
"They are black and Hispanic , not white .",0
"( Includes : one pair of baggy pants , one pistol , a set of golden grills , a looting guide titled ' But I dendu nuffin ' , and one race card )",3
It is highly doubtful the Homo Sapiens went North .,0
"Just wondering , hope they take that slogan all the way back to Africa .",0
What a maniacal & satanically twisted group Bush has hitched his wagon to .,0
"By per capita take-ins , Norway was the worst in 2001 , but apparently the Norwegians cracked down in 2004 and they 're now lower than Sweden 's rate .",0
No tv ...,0
A lot of it could be mostly blacks with Hispanics though .,0
"Yes indeed it is , and yes he is a jew .",0
Well its strange that 's Tesak start anti gay/pedo video near the same moment when Putin do the anti gay propagand law .,0
The innocence is gone .,0
Even the best teachers have to play by THEIR rules so it does n't do much good for them to be there .,0
It works both ways .,0
It seems to mean anything that involves some place where the true white brit can meet and enjoy themselves is gradualy being shut or knocked down probably replace them with mosques .,0
Lying Marxists !,1
"7.62x25 IN STOCK http://www.sportsmansguide.com/net/b...95&s=987&stk=19x18INSTOCKhttp://www.sportsmansguide.com/net/b...95&s=958&stk=1HURRYONTHIS!!!7.62X39ARABIC&WOLFINSTOCKhttp://www.sportsmansguide.com/net/b...96&s=953&stk=1223ANDPLENTYOFIThttp://www.sportsmansguide.com/net/b ... 96 & s = 907 & stk = 1 spg 's stocks are up right now get it fast !!! _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ jgsales has almost everything IN STOCK !!! they have alot of 308 surplus ammo in stock about the only place i have seen with it in stock .308 ammo http://www.jgsales.com/index.php/amm ... o-/cPath/12 _ 43 check out the rest of there stuff too they have alot of ammo and guns in stock right now not sure weather to post this here but how much is brass going for i have ample supply of 223 and some 30-06 , anyone interested pm me , will barter for 7.62x39 or .38 spec .",0
im a 29 year old proud white male who is looking to surround myself with other proud white individuals. im not a radical just a normal guy who is proud of my culture and is tired of being looked down upon from society for being a proud white male. also tired of the `` white boyz '' who are clueless of who they are and where they come from. if anyone wants to know more about please ask,0
Oh .,0
And that 's the truth .,0
Finding ourselves having to live here in annexed Aztlan is all the more reason to band together .,0
"Amongst 60 millions French citizens , you would hardly find 5 millions French without foreign ancestry ( after 1900 ) .",0
Apparently if the 2nd toe is bigger than the Big Toe it is a racial sign that your parents have confined their mating patterns to mixing within those of Celtic Stock .,0
"Because there are kosher Nationalist and pseudo Conservatives mate that is all there is to it , It 's sad to see Fake Nationalist parties defame an actual Nationalist revolution .",0
It's not WV .,0
Lame.,0
"There were never more than a few hundred people attending this parade , many of them non-Romanian gays arrived from Western Europe .",0
Till now yellow has been happy to ride the minority tide .,0
The rest of us Goyim : we have to break our backs making up the inflation difference .,0
ANTI WHITE WATCH,1
The rest is tatar .,0
"It 's not very Irish to talk behind backs , Ted .",0
"Its like the choices are white genocide candidate 1 , 2 , or 3",0
They have a hierarchy .,0
In my opinion this whole gay thing is fashionable now because of the media who constantly force it down your throat .,0
Every summer there is some trash that rolls through the town and goes on a thieving spree it seems .,3
Most of these videos belong on the Animal Planet tv channel .,1
He should be flagged and reported. skyyjohn 's Channel - YouTube EstablishedMen.com sent me on a blind date !,1
"Theres an aborigional day , black pride month .",0
"I registered to make comment but there appear to have a critical error , o dear .",1
Lots Of Beautiful White German Women !,0
"i dont get to newport very often but whenever i do go its got loads of asians wandering around , mostly muslim by the looks of them. i live a couple of valleys over from there .",0
I mean whites are offsprings of Homo sapien & Neanderthal hybrids .,0
"Which proves that they are a different people , and by any chance not Slavic .",0
"This is really , truly BAD .",0
Damn I was so looking forward to using a sharp rock tied to a stick but ok I promise I wont use any of your wondrous inventions if you stop using everything my race invented .,3
Other ethnic groups are allowed to have ethnocentric charter schools paid by taxpayers .,0
YouTube - & #x202a ; Kenya - Hacked to death by panga in front of film crew & #x202c ; & rlm ;,0
"There IQ is pretty worthless if they have n't discovered a cure for cancer , MS , Parkinson or HIV , ETC .... bah .... all I see is numbers .",0
"It is a pagan wedding , between a man and a women .",0
That Ca n't be good !!,0
Now there practically giving Ireland away .,0
"The word nationalism to this day doesnt have a watertight definition however this is what I think it should mean in this context : White nationalism is the belief that the white race must obtain a country for only members of their race to reside in , for the purpose of preserving their race 's existence as a biological category and as well as their races culture .",0
"Live in peoria , az",0
Chicago passed New York as America 's murder capital in 2012 despite the Windy City only having a third of the Big Apple 's population .,0
Double Standard ?,0
Its a `` win-win '' situation .,0
It was gross .,0
"This is the previous edition of that textbook `` Making Europe '' Amazon.com : Making Europe : People , Politics , and Culture since 1300 ( 9780618004829 ) : Frank L. Kidner , Maria Bucur , Ralph Mathisen , Sally McKee , Theodore R. Weeks : Books Amazon.com : Making Europe : People , Politics , and Culture since 1300 ( 9780618004829 ) : Frank L. Kidner , Maria Bucur , Ralph Mathisen , Sally McKee , Theodore R. Weeks : Books when you click on the picture to `` Look Inside '' the negro pops up .",0
All the time the white wife is drooling over him and flirting with him .,0
Seems to me they are in precipitous decline .,0
Equals to white and future ally .,0
"The work place pensions advert is pretty bad , anyone seen it ?",3
"I remembered a really good one : Muenster , TX. - 95.7 % White - Zero negroids Muenster , Texas ( TX 76252 ) profile : population , maps , real estate , averages , homes , statistics , relocation , travel , jobs , hospitals , schools , crime , moving , houses , news This town figured out a name that would keep the blacks from moving in ; Cut and Shoot , Texas : 85.8 % White , Zero Negros .",0
"It where loads of them when I was in Thailand , Thaiguys running up from the water screaming `` Tsunami tsunami !! '' and behind them is a one foot wave",0
And they Speak Arabic .,0
We're speaking out against our race being destroyed and this guy is making up hypothetical scenarios about snack time and windowless rooms .,0
I 'll have a lot of Asian teachers when I transfer to university though .,0
"Millions upon millions of them , until there is no British culture left .",0
Thank god for the Poles .,0
Opps .,0
"If he is that is even worse , the race traitor should be hung",3
One night stands are wonderful when you know you dont want anything else from anyone on the continent .,0
I hate the term black in reference to the Niggardly kind .,0
Instead I am seeing this tiny percentage of black wrestlers taking all the MMA spots .,0
Every state is plagued with disunity !,0
Spanish is NOT their language !,0
"-Those that can , send their kids to jewish only schools It 's hardly a surprise they are so united and our kids have friends like Tra' von .",0
"Land prices are slowly rising up here because of tourism , but only get crazy when you get closer to traverse city .",0
"Friesl hg1 0.2273 0.2222 0.4000 0.4279 0.3214 0.2222 0.1908 0.1034 0.0909 0.0882 0.1515 0.0547 0.6323 0.5532 hg2 0.5909 0.5873 0.4286 0.4233 0.5179 0.5778 0.4913 0.5862 0.6136 0.8088 0.4848 0.6244 0.3000 0.3511 hg3 0.0423 0.0929 0.0558 0.0179 0.0333 0.1040 0.1034 0.0227 0.0441 0.0606 0.0249 0.0290 0.0745 Compare the Armenian regions ( Ararat , North , Syunik , K bakh ) [ blue ] with England and North German ( Friesl ) [ red ] and Mongols [ yellow ] The Armenians genes mark lg1 , that is , mainly , the modern R1b .",0
TNB !,3
"Denmark : 2.3 ( 2001 ) , 1.1 ( 2002 ) , 0.9 ( 2003 ) , 0.6 ( 2004 ) . ( assuming population of 5.4 million ) Good job Denmark !",1
I was n't there too long but long enough to hate that place .,0
Nothing .,0
Few more pictures from Slovenia https : //www.stormfront.org/forum/show ... & postcount = 196 https : //www.stormfront.org/forum/show ... & postcount = 197 https : //www.stormfront.org/forum/show ... & postcount = 206 https : //www.stormfront.org/forum/show ... & postcount = 207,0
I just do n't have the extra concern to care about Tibet ...,0
90 + % of those on it are White .,0
The only Blacks i saw were Somalies .. and they 're a cross mix of Black and Arabs .,0
That goes for all shades of the republican movement .,0
"I 'm thinking he would look slightly out of place in the ghetto , but hey that 's just my opinion .",0
DISGUSTING .,0
Breaks my heart and boils my blood .,0
"This is where their `` I 'm a bad ass , I can do whatever I want '' attitute comes from .",0
"White girls and no other , even asian guys are attracted to white girls all we can do is pray for these people !",0
Absolute stupidity !,0
Let alone 6 of them .,0
At least half of all humans are of below-average intelligence .,0
The new government is exactly as anti-White as they want. : upside,0
Braun,0
"Her life was taken in her own home by intruders in a robbery attempt , who never gave a second thought to this child 's love of life .",0
"Imagine a steel cage battle royal match at Wrestlemania and multiply the carnage a 1,000,000 times and that is what you get .",3
Me an my main nigga Rakwan X and Cracka killa homey G dog money funk on the East side representin Brooklyn soul brotha numba 1 Leroy beez runnin da wigga thing up in hea !,0
I have no idea why they always have to fight each other when there are more important things they should do .,0
The black churches show all black faces on their billboards .,0
I live in Argentina ... forgotten white country in the southernmost tip of S. America .,0
#WethePeople #RealAmericans,0
No wonder young people ca n't get jobs .,0
"Remember, when you buy California fruit you are supporting illegal immigration because that is all who pick the fruit .",0
If White celebrities had lots of children that 'd set the dangerous example that Whites should n't stop at 1 - 2 .,0
It is a noble idea but I would rather stay here in mostly white Missouri then move to 35 % black South Carolina .,0
"Free ride for 4 years without grades involved , State champ band , I know the coons hate that , White boy got ryhtm , !!!!!!!! 3.88 gpa will kick in soon .",0
The reality is that the White race is a minority race .,0
I can see the future of testing .,3
I wonder what is under the Gobi ?,0
And my job lets me monitor all of Jewish supremacist control of talk radio .,0
I put Neo-cons and Liberals in the same category as far as whites go .,0
"I watched sports and universities go black and stayed away from the both since , It s been 30 years since I have seen a football game that was outside my son s high school .",0
Every day its a little more in the garbage,0
i did a project on hitler for school and i read mein kampf and i got a lot of * * * * from the teachers and black kids but * * * * them im gonna read whut im gonna read wpww,0
Do n't mess with Texas,0
Here is my old school picture i think it was in 1994 .,3
"I do n't think she is mongoloid , but it 's big question if she 's White ...",0
Do n't betray your race .,0
That is where we people differ ..,0
I 'm either in North Florida or Nigeria sometimes i ca n't tell the difference. mothergrinninbird@yahoo.com,1
"All their coworkers are white , NE asian or indian/paki , except one guy worked with a mestizo for a few weeks on a project .",0
Dumb goyim are a good revenue source .,0
Mound of Misshapened Aluminum ?,0
"The big black females where shouting `` We want REAL teachers for our chilrens , we do n't want dem blacks you ben sendin us , we want REAL teachers jus like yo got in dem white people 's schools ! ''",0
?,0
Guess who picked Canada 's first batch of refugees from Turkey ?,0
The people you surround yourself with are another source of brainwashing .,0
Anti-White S.O.B. ` s ?,0
http://www.youtube.com/watch?v=O-mRZ...elated&search=http://www.youtube.com/watch?v=qzaV3...elated&search=http://www.youtube.com/watch?v=RRoj1...elated&search=http://www.youtube.com/watch?v=3-URO...elated&search=http://www.youtube.com/watch ? v = v12VY ... elated & search =,0
I scored higher than any non-whites too .,0
String ' em up !,1
Over the last year I have increased my personal efforts ten fold I think we are among the last whites with the hope of saving our people .,0
Soccer and Music .,3
I had an Irish boyfriend for 3 years once and he used to laugh about how in ireland you never saw black people .I guess things have changed a lot in 10 odd years,0
Evidence?,0
https : //www.stormfront.org/forum/t384418 / https : //www.stormfront.org/forum/t291185 / https : //www.stormfront.org/forum/t113191 / https : //www.stormfront.org/forum/t46864 / https : //www.stormfront.org/forum/t101175 / https : //www.stormfront.org/forum/t118865 / https : //www.stormfront.org/forum/t142566/,2
"I am of German and British descent ( 75 % German , 25 % British , approx. )",0
Plus they dress like ladies and not strippers so you are forced to look at their faces and their fake tits and miniskirt .,0
"http://www.sfgate.com/cgi-bin/articl...BAJK19A7M6.DTL ``Based on the rate of improvement from 2003 to 2009 , it would take up to 105 years to close the white/Hispanic achievement gap and at least 189 years to close the white/black gap , which has failed to narrow by even a point in English since 2003 , according to scores released Tuesday . '' and `` Wealthier black students score well below their white and Asian counterparts , including those who are from low-income families . ''",0
Are there also serbs who have black hair as well ?,0
I dont believe i or anyone living today brought you here or wanted you here .,1
half white is still superior because how come every person I know who is half white is good at everything no matter about what other race is in um ..,0
I just read in a newspaper in the Grays Harbor county of Washington State that test scores are going down .,3
They are a good example of people who are brainwashed .,0
"So you elevate that minority ever so slightly , and screw the rest .",0
NATIVE = WHO REACHED THE LAND FIRST,0
Id say thats an example of Upper class looking down on the lower .,0
"i sit around everyday saying white pride and all , but i dont feel really involved , yet whites are being destroyed today more than ever , white culture is being destroyed more than ever. i dont know about everyone else but im sick off just watching it from the sidelines. i dont want to see my children be exposed to society like this. i want a change at all costs today. if anyone is in driving distance of massachusetts , post back .",0
Stay away from Alberta .,0
Perfectly normal and WHITE names Next try : Leida f Kulla m Alma f Ege m Ärta f Epp m Endla f Arno m Tiiu f Ikevald m Piibe f Reet m Rünno m Does Ikevald have any meaning ?,0
Id say move out west were ever either B.C or Alberta all white people in Canada need to move out west so we can take the west back .,0
"I cannot say that I am happy about supporting welfare mothers , but I can firmly say that I prefer supporting a welfare mother than a murder-clinic .",0
NOT !,3
The sad fact is thesame thing goes on worldwide .,0
"Pretty soon , there 's not going to be anywhere left to run .",0
"In other news , math and science scores in California and Florida schools have declined yet again .",0
Asians are smart .,0
"Probably from the two minimum wage part time jobs ........ Oh wait , whites need not apply .",0
"Slope County , ND Races in Slope County : White Non-Hispanic ( 99.6 % ) County Population : 767 Land area : 1217.9 sq. mi. This makes the Mud Index 0.003 .",0
"Even if it 's all black or all Pakistani , that 's somehow `` diverse '' .",0
16,0
"But as for them adopting kids , the answer is NO .",1
We should all know by now who hates Christains more than anyone else .,0
"If you love your Race and want to see it thrive well into the future , You 're a Racist .",0
Yea like the resistance the Christian Churches put up against the communists right ?,0
"There are a lot of white babies being born in the South , but it 's still not what it should be .",0
I was born in Rhodesia mother was n't full blown african whale my father was of portugese descent .,0
That picture was truly revolting .,0
Truly .,0
I guess the Canada before 1965 ?,0
That or they where just lazy and did n't want to digg two graves for a fallen soldier .,0
I sometimes wonder who actually runs this country .,0
Or Minnesota ?,0
"Sardines and anchovies , for example , are basically 100 % safe .",0
I went to party school in liberal farts .,0
It's much easier to follow the stereotype of White people that their thought controllers fill their minds with .,0
"It has been claimed that the black African invented the stick , but that is a lie .",0
1 .,0
...is rotten to the core .,0
"They're trying to turn the Internet into a mirror version of television , in other words turn it into a wasteland of celebrity worship and wipe out all of it 's potential as a medium for informing and educating .",0
"have you been in studentski grad in Sofia , you should go and see young student girls from FYROM geting down with Bulgarians serbs and albanians get ur booty too VIKI RALEVA VELIKI BRAT ПС.ВО КУМАНОВО СЕКОЈА ВТОРА Е СО СИПТАР ХАХА",0
"Humans are the only hosts and victims of V. cholerae , a motile , aerobic organism .",0
"I would meet ya. ^ _ ^ Lots of "" `` work '' `` here lol .",3
There is such a thing as a human race but different sub species .,0
Live off the island .,0
It is about time damn it If we keep listening to the damn Ass teachers we are going to change from Aryan to Airy Einstein is Airy want us to believe in time travel and hooking up a hose to the sky to funnel dark energy when the damn professors funneling funds and teaching Einstein 's stupidity I can prove Einstein stupid and I tried to meet David Duke to end Einstein and he did not reply Any History makers ?,0
Kurds in Berlin : Germany : Watch thousands of Kurdish protesters rally in Berlin - YouTube and Hamburg : Germany : See Hamburg SWAMPED in anti-IS global action day - YouTube Munich : Zwei Zwillings-Paare kommen munter und gesund zur Welt - MÃ 1\/4 nchen - Bild.de,0
