text,label
life is so much better with a heating blanket,0
Sometimes I just go through my phone and look at pictures of my dog,0
in desperate need of (and I can NOT stress this enough) spring break,0
I've said it before and I'll say it again but YOUR MENTAL HEALTH IS SO MUCH MORE IMPORTANT THAN A GOOD GRADE,0
I couldn’t have imagined how much fun I would have with people I’ve met through streaming. I’m so thankful to live in this timeline even if it is relatively garbage.,0
Why do I have a doctorate and miss the restaurant industry SO MUCH,0
Fox News et al should be shut down. Absolutely heartbreaking.  💔  #GOPTraitors https://t.co/6s3MFrSLU1,0
"Yeah, Lydia! Making Alaska proud 🇺🇸🏊‍♀️ https://t.co/V0YJDwKrt9",0
@GeekDadGamer My neice (4 or 5 at the time) *loved* playing Mario Kart 8 with her dad using the acceleration and steering assists. Before that she was mostly a spectator while he played kid-friendly games like Ape Escape.,0
"My boys Sam &amp; Ben Haigh (8, 4) are huge fans of yours and would like to wish you a happy birthday all the way from England, ps cant wait to try the colour challenge with the boys during lockdown great ideas to keep them busy ! x @Preston",0
"@sainsburys perhaps you could make your shop mobile and take essential items to hospitals, and other key places,  so it makes it easier for staff to get items they need",0
ive been watching british streamers for too long. i caught myself saying aircon instead of AC,0
"i know starting up school again can be very stressful but pls remember to stay hydrated, don’t overwhelm yourself, and reach out for help if you need it (my dms are open!) :)",0
i lost the promise ring my boyfriend got for me about a year ago… and when he left for basic he let me keep the one i gave him since he couldnt take it. well i found mine- our rings are back together :) https://t.co/2OgpQgH5n2,0
Can anyone provide crutches in the eastleigh area? #help,0
#PostAnUnpopularFoodOpinion salad cream on toast mmmmmmmm,0
Getting very anxious waiting for #TheGrandTour,0
Happy New Year,0
There is a boiling hot place in hell for the bloke who brought and used his nail clippers in a library.,0
@waitrose yet again breaking the UK formula marketing rules. Please educate your staff. @babymilkaction https://t.co/KIs8Qr6ojw,0
Match play golf is just class to watch,0
GIVE THE BALL BOBBY AND HE WILL SCORE ⚽️,0
quicksand is not as big of a problem in my adult life as I thought it would be,0
"@miiniigun I feel that 100%, my anxiety stops me from talking to so many people. I've let so many friendships die because I can't push myself to talk to them.",0
"Well done @WestHam and @premierleague, great leadership! https://t.co/4IPXaK0Jpu",0
Congratulations Jayden. A worthy winner of the award and a bright future ahead of you. https://t.co/iBM0FAIjcp,0
"Amazing! Simply amazing.

Well done Sky Brown. You are an inspiration to all of us. 

https://t.co/VppUp4n7Y0",0
men are so grimey,0
And we still wonder why girls are having issues with their body when you have places selling LARGE and saying it is for sizes 10-12 🙃 stop the bus I want off https://t.co/YmRX3ESatk,0
Nothing can ruin a summer like hayfever,0
"Worst mistake you can ever make is not taking ur mates advice, hands down",0
The world we live in today actually disgusts me.,0
Man I miss my friends :(,0
PLT slamming their brand name on everything winds me up. You’ll find something really nice but it’s got ‘PRETTY LITTLE THING’ written in caps all over the front 😩,0
Meh…Drakes album. Don’t feel like there’s a song on there that I wanna listen to twice. Maybe it will grow on me 🤷🏼‍♀️,0
finding vegetarian chocolate mousse is such an annoyingly hard task to do,0
I haven’t seen my best friend in over a year I am not coping well :((,0
happy one year vegetarian to me ❤️🌱,0
"@MI37867601 @Christo66412045 @FIimdog @UpTheVile @JoPSmith25 @NewsForAllUK @DailyMirror I don't think they did, but I could be wrong. Jon Ronson interviewed a guest booker for the Jeremy Kyle show for his book, The Psychopath Test. There's a short exerpt of it here. It paints an ugly picture of how these guests were viewed and manipulated: https://t.co/EnbNS2xYWZ",0
@TheWiganRunner @EmpireCinemas There are so many films I want to see atm! This would be amazing 🙌,0
"One positive of being stuck inside all the time is I've almost got back to being as good at FIFA as when I was 15, and I consider that an achievement",0
I think France will win #Euro2016. Predict who will flop and come out on top at https://t.co/U8ycyIk3JK https://t.co/PGTRXBNSLY,0
This is the XI I think should start against Russia at Euro 2016. Who would you pick? https://t.co/I6ksBPd2Ty #MyEnglandXI via @bbcsport,0
i despise the racism within oldham,0
i am 21 years old and i still love harry styles as much as i did when i was 11,0
let’s bring it home biden,0
"Whenever I text Scott in the middle of the night and tell him it’s been a rough night or that I’m tired, he brings me breakfast home and this is the type of love language I’m here for 🤗",0
I’m going back to work exactly 8 weeks postpartum and that just doesn’t sit right with me,0
I’m on a serious treat myself kick and I’m not mad about it,0
Cannot cope with uni reading it's doing my head in!,0
I ask myself everyday why did i pick art?,0
Bring me the horizon's new song drown is my new favourite,0
spaghetti bolognese isn’t the same without garlic bread,0
Trains are so unreliable 🙄,0
"@playrust @Shadow_frax Really interesting map, you can tell a lot of love and care went into it.",0
"Selling 2 X Zutekh Presents Mella Dee at Square One Manchester Tickets 22nd August - £18 Each, cheaper than face value 
Message me or @SarahrodriguesX to buy",0
Been playing Ghost of Tsushima and I love it!!!,0
Trying to meet my friend and she’s literally lost in John Lewis omg,0
"It's been so lovely to see the world in blue and green and gold again this afternoon after a week or more of endless grey. Sunshine, I have missed you.",0
Strong people have no need to bully. Bullies are never strong. Shouting and losing your temper are not signs of strength.,0
More Life to Me 😌🥳 #23,0
i think everyone should get an air fryer❤️ good vibes only,0
the thought of one of my siblings getting my room when i go to uni makes me sad af😔,0
settings is such an interesting place,0
Anyone else with AT&amp;T have no cell service?,0
"Had an end-of-the-year gathering with my ms coworkers tonight and it was just so nice to be together. 

Get vaccinated, guys.",0
"Grealish is just good. You hate to admit it, but damn.",0
"A Christmas story. About three years ago my Mum told me that she’d bought me a present: she wasn’t sure if I’d like it, whether it was my kind of thing or not, but she’d loved it so she’d bought it and put it away. And then she lost it. https://t.co/r9lxwYE7p7",0
"I wanted to be so much harsher about Zoom meetings.

https://t.co/fR3GcEjvOV",0
please i just want a gp that can prescribe me my bridging hormones,0
I am so fucking tired of living in the UK.,0
i gotta get out of this city. i made $18 doordashing for an hour and a half 😭 3 orders and only one tipped lmfao he was the sweetest tho he gave me a cash tip + a 3.00 tip on the app &lt;3 i miss him,0
me and my gf are on a reality tv show binge lately does anyone have any suggestions for particularly Unhinged reality shows,0
aw i had a dream i bought a big book of words and their meanings and now i’m awake and sad (also in the dream i was wondering around the most magical library/bookstore/gift shop???),0
"Join me on @WeAre8Official to help save our planet in just 2 minutes a day.
#UnitedForGood @WeAre8Official https://t.co/s2LdOOJleR",0
In terms of usability is there a more frustrating web site than ebay?,0
First proper Coffee in 4 months.,0
"Broadband back, starting to feel a bit more normal.",0
I can’t believe it’s been 20 years!!! I’m still as much in love with them now as I was back then 🤣 @officialblue they gave me the most amazing friend in @AriesBabe85! 💙💙💙💙 #20yearsofBlue,0
Frankie is so lucky to have some amazing people in his life. Those that haven’t bothered  are missing out!,0
Everyone - Get Vaccinated,0
@Chris08505199 We watched this and were really saddened by the lack of deeper digging around this issue. There was an air of blame uk jobless for not stepping up. Needs a proper investigation and not a fluff piece IMO. Thanks for your tweet though.,0
"@ishkolhatkar @RosieisaHolt We think you are very, very funny and very,very,very etc …brave. You nail the issue and put those that actually believe the comments you make to shame…. Please keep doing what you’re doing….",0
(Shameless Dead Snow 2 misquote) The sequel I did 'nazi' coming! Can't wait! https://t.co/gngxw5kbDh,0
"We'll be giving classic, cult and trashy movies away next week at our charity horror night - https://t.co/TuCvfGNm9n 📽💀⚰🔪👹 https://t.co/lGJgbAD3Da",0
"missed this the first time round but a conversation I really wanted to see happen , great article @hkatewilliams  https://t.co/wH0doPQlb1",0
"Happy new month to all my Mutuals and Friends on here, wishing us all good health and more financial breakthrough this month.",0
Passed my PhD @LivUni_IVES today and I could not be happier!! https://t.co/mSOeoC61as,0
Here is my book that no-one will ever read! 👨🏽‍🔬 https://t.co/EstLa52GEX,0
