text,label
Who thinks White People should marry White People and only White People ?,3
"You mean us white taxpayers gotta pay for this , too ?",0
wwwfaem.com,0
The fact Whites stood by while he was being attacked by a group of Mestizos is far more disturbing than the attack itself .,0
The Klan is the greatest thing to happen to this country and it will take this country back once again .,0
3 .,0
it is down to the EU.we have no say anymore on any piece of scum coming into the country as long as they have an EU passport,1
"Yeah, if msnbc would air videos like this they 'd get much higher ratings than the same ole negro grumblings .",1
Freundschaft - Sleipnir & Nemesis with/mit English and/und Deutsch Lyrics - YouTube,2
We need immigrants.Reality is kicking in for a lot of people who were all for immigration.The Blacks put up in hotels and Irish on the dole.Story here www.independent.ie,0
"TAKE COVER YouTube - UPDATE 1pm CST - Meltdown , Outgassing !",0
So as long as immigrants behave and respect British culture they can stay .,0
I bet this Negro is planning for an insanity defense and he may just get it .,0
YouTube - Orthodox Celts - Star Of The County Down,0
Seemed to work well on the Indians and Australian aborigines .,0
They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,0
He 's nothing but a jerk and a piece of trash !,0
"Let's not start spreading those Croatian lies about Serbs being mixed with Gypsy 's and Turks , look we are both Christian white Slavs .",0
I'm not allowed to use any negro inventions ?,3
Haribo Advert - Interrogation - YouTube,0
Period .,0
People sticking up for white men .,0
ALWAYS SPEAK OUT WHEN IN A CLASS WITH A BRAINWASHING TEACHER BECAUSE ONCE YOU SPEAK OTHERS WHO MAY FEEL THE SAME WAY MAY REALIZE THEY ARE NOT ALONE but if you say nothing then everybody will without question go along with the anti white brainwashing .,0
It just shows how superior Atlantic Canada is .,0
"I'd focus on the aspect of forced integration and that the Whites acted in response to that , first .",0
o___O Im gonna see if i can get them on my kobo . .... damn nope .,0
The only way to stop it and its followers from spreading is to join a White unity organization and not support democracy by not voting .,1
Yamaha Aerox 150 PS 1000ccm - YouTube Yep a 1000 cc aerox,0
Best to All !,0
White + Asian DOES NOT make white babies .,1
Jews have been poisoning wells since Biblical times .,1
When will people * * * * * * * wake up ?,3
I just made a visit to L.A. I have no words to describe the racial situation in this city .,3
That 's every groid 's wish anyways .,1
"Not because the white man was evil , but because the `` natives '' were .",0
"I know exactly what you 're saying , I just hate to see those worthless apes benefit from the great things that whites do .",1
Just saw an video that i would share with you guys YouTube - `` WHITE GENOCIDE IN AFRICA '' THE BEGINNING OF THE END !,0
"They want to control the masses , and are doing it in every major institution , including schools .",3
More than that I cringe every time I go to hang out with my friends and they blast this filth in their cars and homes .,0
WHITE guy murders asian student days before her wedding .,0
"That 's their real contribution to society , misery and dependence .",1
"Yes and if I were a jewish-supremacist I 'd want it that way , too .",0
The war against whites is raging and I do n't want to be a casualty .,0
It 's just the way they are .,1
It really pisses of the liberal leftist,1
Apparently the story is that the white woman flipped off one of those groids and they all came to gang up on her .,0
Honestly if they ever fired them I 'd expect they 'd do more damage to themselves since the average negro lacks the intellect for basic firearms training .,1
Foreign of course .,0
So what are your thoughts and personal experiences with the whole new immigration system ??,0
"Sorry, but what they did was just sick and wrong .",0
Though they are trying to pass open carry of a handgun .,0
"http://www.guardian.co.uk/print/0,,3...117780,00.html Executive summary : the negroes never domesticated any plants or animals .",0
We do n't need such scum .,1
When I see this stuff nowadays it makes me wa n't to punch the white people who fall for it .,1
"Or try yelling * * * * the nigs ya 'll get suspended , jumped and hopefully some new wn friends or ya 'll die trying. lol Rohawa its a battle cry .",1
S.African police clash with poor protesters | Top News | Reuters Hand the country over to Muds and what do you expect .,1
"Heil , 14/88",0
Every beautiful place on Earth has to be ruined .,0
well im glad to hear there are more youth in our world and lets all hope those mudds and niggs go to h-e-l-l,1
"Regards , Kyle",0
They way my mom found out was by my Negro loving sister and my sister found out because a black racist bus driver started to call my sister and her friends racial names so I said I would get some of my friends and we would go on that bus to ``make a statement`` and she told .,0
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,1
88 sister no buddy reply to your post ?,0
"Yes they did , the Jews claimed that Jesus got his power from the devil to heal people of their illnesses .",0
Over a million Whites have left South Africa since the Communist ANC Government came to power .,0
Yes that game is pretty good its truly 100 % negroid killing action aka mini RAHOWA But i would like to see a expansion set of it ........................ next mission in harlem : laugh that would be perfect then .,1
"To sum it up , the situation in Sweden is a complete disaster .",3
As do blacks .,0
"I live in Georgia , namely the metro-Atlanta area so naturally im surrounded by monkeys .",0
Disgusting.....,0
~ ME,0
I guess Mr. Pena forgot about the black speed skater who won the gold and is being glorified on NBC every 5 minutes .,0
"These feral negroes stalk white women , rape and kill and , no one seems willing to stop them .",1
"Jews are not only insane , they are of literal demonic DNA .",1
The struggle is about race not culture .,0
you just say blacks hate the cold. the only reason they are good athletes is because when you have to run lions and tigers you get fast or eaten .,1
Fogalmam sincs hogy mennyi lehet itt .,2
In case they start grabbing guns .,0
You can stop this by getting a dead pig and bury it underground where the mosque will be built .,1
You seem to have no grasp of the fact that it is the jews who have stolen German identities in the first place to blend in .,0
A Black Father taking care of his kids ?,3
"Indeed, I have n't seen or heard machines raping or robbing people in the streets of Stockholm yet , non-european immigrants however ...",1
Nasty..,0
I'm interested in knowing if they 're slavic people or are they arabs claiming to be Ukrainian or other minorities using the title of Ukrainians ? 2508,0
- YouTube,0
Friend of mine says it 's spot the white person down London .,0
"seven billion `` Humans '' on the planet and with Open borders , H1-b visas , fake social security numbers , colleges hiring foreign nationals over White Legal Americans , and Obama 's Amnesty on line with an apathetic public , , , well , dye your skin black and unlearn your english and you might get a good job .",1
And it 's true !,0
Those Asians and Blacks would continue to imitate Whites just to gain an upper hand or just to show that they are `` superior '' .,0
"RIP Germany YouTube - & #x202a ; Pierre Vogel und Bilal Philips in Frankfurt ( RTL NEWS ) Deutschland & #x202c ; & rlm ; 1 lone German woman standing up YouTube - & #x202a ; Female Protester Disrupts Muslim Radicals Rallying in Frankfurt , Germany & #x202c ; & rlm ;",0
"I 'm going to start looking into it , I 'm tired of being treated like I 'm less important than this mud on welfare after I 've been paying taxes for over 35 years .",0
This is got to be one of the few places in the world where you can drive 4-5 hours and go from rain forests to desert .,0
jews have white skin does that make them white ?,0
Integrated public schools offer nothing but abuse for white children .,0
My Gym teacher told a Lebanese kid that was screwing around during class to go back to his own poor ass country if he wants to screw around .,0
Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,1
Presumably you are not in favour of mass white immigration simply on the shallow account that they are agreeable to your sensibilities ?,0
https : //www.stormfront.org/forum/t795949-2/#post9151222,0
"I came here to find out why such a small population living on a small area of the planet , constantly ravaged by war and instability managed to become the opitomy of progress and civilisation and eventually rule the world .",0
Well I wonder if its started messing with the daughter yet .,1
"I do n't want sheeps , I preffer girls .",0
You are almost certain to hear a few negro kids say they want to be `` rappas '' or `` basketball playas . '',0
So Trudeau is sneaking them in like that ?,0
Fast food is not for whites .,0
In reality they have no money and it is all a charade .,1
"What is colour , is that ghetto fly , super dawg slang ???",0
"Let me make it clear I do not like muslims but they are still slavs so they are my brothers , as long as they keep the religion to themselves then there is no problem for me .",0
YouTube - Mike Castle on PeeBo 's Birthcertificate .,0
He has the blood of many muslims on his hands .,0
Well this is just like Westchester county advertising solely for nonwhites to come and live there in projects .,0
Only the crazy ones stay .,0
When the tea party people have a event and very few minorities show up its the White tea party people who are racist .,0
The blood of hundreds of white women is on the hands of white liberals .,1
I would just like to express how sick and tired I am of bi-racial half-breeds kids at school boasting about their `` unique heritages '' .,1
"Cholera is most common in Africa , southern and Southeast Asia , and the Middle East .",0
It 's all about race mixing .,0
"Like the parasites they are they simply moved to a new host , to continue their destruction of Western White civilization and culture",1
Beefcake ? s Bootcamp | White GeNOcide Project,0
Hiya i 'm new here and sick of watching my country become infected with the disease of multiculturalism .,1
Worth .,0
You 're telling me that there 's something we Swedes have done right ?,0
Just me .,0
First impressions ...,0
Public schools have been left wing indoctrination centers for a century .,0
Seems none of these pinheads wanted to get dirty .,0
While they are in prison the kikes should get the same food the regular prison population gets ...,1
Too many whites think they deserve what negroes dish out because of guilt .,0
This is a pop quiz !,0
It is certainly enough money to keep hundreds of jews employed by over a dozen companies involved in the certification process .,0
because they deserve at least a taste of it for helping the white liberals and Jews push it on us I do n't think we should allow it to destroy them though .,1
Aragorn,0
"The title was , `` What It 's Like to Teach Black Kids . ''",0
I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,1
Maybe they 're confusing the fact that we 're tired of LIBTARDS on TV for our being tired of White people .,1
2056,0
Hi i need some information to understand the meaning of the negrogreek homo and the race-mixer tag of the HELLENIC THREAD .,0
We have to fight for our survival and our future but we can have our cake and eat it too .,0
"if its such a big deal that you need to talk about it , yes. you are a non-white. you might as well be fully mongol .",1
"If you want to see what having a black , kenyan White-hating muslime in the Whitehouse has created , go look at Tarantino 's latest flick Django Unchained .",1
88 - Jim,0
"White people ca n't just be left alone , can they ?",0
"One thing you seemingly cannot grasp--that JEWS themselves are messiah , and their kingdom is earthly .",1
Yeah iam from Edinburgh and i when i was at secondary school my classes where full of blacks and pakis and half them could hardly speak english .,0
"Maybe the subject line for this thread was supposed to say , `` The first black US president was a muslim '' ?",0
These `` black people '' have the nerve to call themselves human. . .,1
"Yours , Rebel",0
"Beware many of these lectures hustle the jew cults of globalism , humanism , and social collectivism .",0
"I have both excellent credit and money , but would never live in the Southwest .",3
This disgusting negro makes us ( white people ) look bad .,1
I'm pretty sure the average black is stronger then those white men that date asians or the ones who let their wives take control of the household .,0
Interesting .,0
- YouTube,2
YouTube - & #x202a ; Walmart Greeter Beatdown ( Caught on Tape ) & #x202c ; & rlm ;,0
Both Asians and whites are composed and calm and blacks seem to have no self control .,1
26 5feet 8 inches dark blonde hazel/green eyes 155 lbs babyface,0
"As far as Baldwin goes , what an anomaly that place is .",3
"I think this is the video I was talking about earlier , make 's me grateful for our ' micro-ghettos `` out here.This guy keeps driving for miles and miles .",0
"Non-whites are looking out for their own interests , race traitors are an enemy by choice and choose to unite with enemies and not whites .",0
In these dark days of jewish/Marxist/mafia dominated materialistic societies where everyone and anyone is only a bank note to be traded .,1
- = Wulfi = -,0
14/88,0
They are in point of fact perpetrating mass murder and the MSM suppresses any and all news on a national level .,0
"YouTube - Black mugger sentenced to 75 years in prison for hate crimes against elderly women YouTube - Cop 's mace vs black guy 's kung fu YouTube - African American man sprays semen on white woman in supermarket YouTube - White guy beaten nearly to death by Blacks for dating a Black woman , no hate crime there YouTube - Broadcast Yourself .",0
Is n't it interesting how genocide is a crime until it happens to Europeans ?,0
That news is something totally incomprihensible .,0
They dont think a child of their own race is good enough ?,0
WEKU,0
From the changing of the guard to the changing of the negro .,0
And 15 minutes .,0
I utterly want to vomit after watching this disgusting pro invasion of White countries ad .,0
Heroes In The Snow ( Sweden ) - Rock & Roll Midgards Søner ( Sweden ) - Oi !,0
"I do not think anyone looks up to white Negroes , just the black ones and then they become wiggers .",1
The raw footage of these beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be .,1
CF,0
"So sick of the way its working , I remember when I was growing up in Winnipeg the little shops were all white runned and owned and would hire people from the community and it was great it helped people and kept streets safe even though me and others would cause some bull * * * * it wasnt anything to how it is now .",1
Hispanic and Negro populations in that county ?,3
Similar with Norway I think .,0
Any religion that is forced is against freewill given by God .,0
I think it 's quite ironic that they want to ban the burkha when they look like they are dressed in them themselves .,0
88,0
Not to mention that they do n't belong here anyway .,1
A good old bit of nostalgia from the days when there was hardly a blade of grass or a coon on the pitch .,1
It seems all of Northern Mexico is embroiled in open Warfare and our border patrol is having clashes with Drug Gangs shooting their way across the border CWII2008,0
OMG unfortunately they are very good at hot air. did n't see any massive demos to prosecute the kiddie fiddlers amongst the Christian Brothers .,0
The woman may be attractive to another black .,0
It will be a whole new can o ' worms for the government .....,3
"We have two things wrong here , Mexcicans in a White homeland and a Pizza company sending a female in harms way .",1
When the populations are not seperated racial mixing occurs and that is genocide .,1
Are you an anti-Semite who is trying to undermine the racial integrity of the world 's only Jewish state ?,0
"It then became a booming black town , and they ran it straight into the ground .",1
"This was on the news tonight and I thought WTF Is this some kind of joke , I 'm sick of the West taking in the Worlds garbage",0
"When the non-whites come we should stand together and send em packing , like they do to us .",1
"Bad news is , weonly have cow sh * t to eat. good news is , there 's plenty of it !",0
MrBadgerSir,0
The worst thing happened to internet freedoms when albanians used their spare time from selling drugs to learn to use computers .,1
Anti-White C * * T.,0
Watch out for them one-droppers .,0
"May you rot in Hell , `` Tamir . '' http://news.rgj.com/apps/pbcs.dll/ar ... 34/1004/NEWS19",0
It's weird most Indians dot and to an extent feather that I deal with hate blacks more than they do whites and find blacks to be lazy and worthless .,1
It is disgusting .,0
Hitlerjugend Quex Der Ewige Jude Jude Suss Those are some movies the Nazi 's made and are very good and informative .,1
"We know , but Trump 's kids are all married to or dating Jews and he 's expressed his full support of thelgbt community and gay marriage even if he is not out waving the fag rag in fag pride parades .",0
Sunshine .,0
That all changes when they have to live around them .,3
YouTube - Detroit : Gang Battle at Funeral,0
"In certain circumstances I would agree with you but in Europe by preserving our nations we are preserving our race as well because there is no way a black in Europe can be British , Irish , German or whatever .",0
My mother was a teacher and a fair while back thought colored folks were wonderful misunderstood creatures but after teaching a majority non white class for a couple of years she no longer thinks they are all that great,0
We MUST .. stand together This dived and conqer bullcrap has got to end .... now !,0
"zpridez NO big deal , I got your drift.IMO If these bellyaching Black peoples et al continue to negate/or ignore the present ' Products of Progress ' within society we 're all doomed .",1
WhiteUtopian,0
Homo neanderthalensis was just a dumb negro subspecies of the negroid species and never white-european .,1
They were nothing short of a Godsend .,0
The jew is attempting to make the condemned beg for the noose .,1
Freehold !!!,0
"It 's parents working all the time and letting their kids watch hours of Mtv after they get home from school , makes the girls think that dressing and acting like the `` Ho 's '' in rap videos is cool and is all they are good for is to be `` pimped '' out !",0
Msciwoj,0
Interview with Herman Rosenblat : A Holocaust liar https : //www.youtube.com/watch ? v = HPzxTQ3t1wU,0
LOL Tim,0
If I feel threatened especially by these fools you can bet I 'll be just as quick to kill as they are .,1
Onward !,0
Five years ago there were zero `` apathetic refugee children '' in Sweden .,3
White doll black doll ....,0
- YouTube short version-bad rock canyon - YouTube,0
"I sometimes practice my arguments on Blacks , I have gotten 2 of them ranting about Jews to all of their friends .",0
"It is like they would bleach their hair blonde and bleach their skin `` White '' , speak English , etc but still they would torment others with their Black characteristics .",1
Get the hell out before you people become part of a great dirt !,0
Once the negros start coming in bunches it will be a hellhole and the whites will have to leave again and start a new community .,1
Millions ca n't .,0
"Lie, lie , lie !!!",0
Your right the white race will have to fight or go under.For the Irish goverment dont piss down our backs and tell us its raining .,0
This is going to stir up a lot of yellow hatred for the hebrews .,0
HydraDeck Humans - YouTube,0
I went to an EDL rally in Luton a couple of years ago and i can tell you that the EDL are not real nationalists they are just a bunch of drunk Football hooligans They are a disgrace,0
"how could you have a debate with a nigerian woman ! pity i was listening in , should have been a good laugh listening to that person trying to hold a civilised conversation",1
Non Whites happened .,0
a jew i know tried to get me arrested and set up numerous people i know despite him being a drug dealer himself,0
"A more apt analogy would be if he went to a party and showed up to find a small group of whites standing around while darkies kept pouring through the door and acting like they owned the place , so he joined some of the whites in complaining about it .",0
What is it like to teach a negro ?,3
Being a racialist means you stop trying to hurt other White nations for the sole selfish interest of your own nation .,0
Planet of the apes .,0
"Well then , that makes the fact these scum are sending millions of their kin to my country , taking jobs from the White inhabitants , killing our people and mongrelizing our race all alright then .",1
The Jewish race is without any doubt the greatest threat to the survival of the White race .,1
"If that makes me brainwashed , then so be it .",0
"I did both , but i keep watching us go extinct .",0
I got so sick and tired of all these idiots who think Jacob Zuma is the problem that I decided to hold up a mirror instead .,0
"OMG why are you posting your face on a board , It is dangerous here ( Holland ) to post your face on a `facist` board.Becouse allot of Antifa is watching 2 .",0
Pallada Photos - San Francisco Bay,0
"No, they are the fastest land animal on this continent , so I think they are simply testing their speed .",0
They wo n't rest till they have wiped us off the face of the earth,1
"why do you white nationalist try to spread fear in blacks saying that the jews do not care for them. jews are the reason affirmative action is in place which allows us to take your jobs. jews are the reason so many blacks have become rich including myself. so why do you think their just using us ? jews are your enemy and so are we so what you feel you need to do is make your enemy against each other. is that right. you want blacks against the jews. well guess what , not goinna happen. the jews needs blacks as much as blacks need the jews and together they are a force to be recon with .",0
I dont think it will work moot is too much of a libtard to allow that going on for too long,1
Look for Don McAlvany 's `` Revolution and Betrayal '' The terrorist-pig was caught red-handed with tens of thousands of grenades and anti-personnel mines .,0
i seen the article we want to go to ireland get free money and goverment will give us houses and not one member of goverment says a peep expect residents against racism to take on their cause and the law system to make a mint off of them .,0
I'm young and viciously angry I 'm not going to lie or apologize for my actions i treat non whites like utter crap and i always have and always will they are n't human in my eyes Anyone who tries to wipe out my race and culture will be met by hostility by me any race who rape and abuse their and my women will be met by hostility and contempt by me WPWW,1
She came to hate the African poachers and showed no mercy towards them .,0
"There is already hundreds of threads about blacks and violence , why have you decided to open up a new thread about it ?",0
I saw this video on youtube Chechen Lezginka - YouTube Why do Russians call them black .,0
They 're all `` Brown Lines '' .,3
I think it is a bit late to think to look after the safety and the future of white people in South africa .,1
I live in California and the only school race riots I hear about are blacks vs. mexicans during Cinco de Mayo lol .,0
"Situation in Switzerland is terrible , blacks and muslims are everywhere ! We were a great Country with a great People but all these monkeys are transforming Switzerland in a zoo where law is not respected .",1
These are sad times .,3
Now isn t that stylish Nothing says Sick in the head like chaining yourself to a crack heads baby .,0
http://www.eurorus.org/,0
If it was the other way around and it was white on black we would never of heard the end of it,0
He can go pollute some other pool with his disgusting paedophilia .,0
"Well, lets just hope she does n't get thrown onto the same pyre that she wants to burn antisemitic books on .",0
"As bad as things are here , at least we can carry guns around .",0
We need to all move out west were the resources are and bring in whites from all other nations then separate we need to have a white homeland its the only way we could possibly save our race .,0
It 's amazing how the media spin can make it seem other races are minorities when they vastly outnumber us .,0
Lack of compassion seems to go hand and hand with lack the of White blood .,1
This is why libtards and Jews call us white supremacists and get away with it .,1
Everyone on SF Britain respects other Europeans we just wish our politicians would do some think about this immigration problem we have just look at London its madness .,0
Odium ( Sweden ) - Oi ! ( This is one my favourites ...,0
"London is a dead zone as far as anyone White is concerned , even Hertfordshire where it 's closest to London is turning brown .",1
All schools in Ireland should be segregated .,0
YouTube - DOG SET ON FIRE WHILE GIVING BIRTH YouTube - Animal Abuse at Child Care Center In Chicago Ghetto,0
Deport all Indians back to India and make them pay for the trip .,1
The vegitation here has a lot of these tree with thorny burrs .,0
"It's pretty simple ; if they come at you , you come at them .",0
Make sure you have a security team for Justin Barrett whenever he speaks in public in case the unwashed scum try anything again .,0
same over here in australia. the entire melbourne taxi system is filled with indians and africans. its funny that there are no calls for diversity in the taxi industry,0
Just about anything you could ever dream of can be found HERE Just about everyone agrees on illegal immigration !,0
"Indeed, now they just need to feed themselves , educate themselves , police themselves ad nauseum ......",1
"JAPs are a total hoot , each the center of the universe , loud , brash , vain , arrogant . . .",1
Your american government does n't want us whites .,0
i have been talking about it for years. the filthy muslims putting their sight on africa. in some ways they are worst then blacks .,1
Welcome to Stormfront .,0
Many British do n't have the white nation mentality they see a foreigner is a foreigner is a foreigner .,0
"When they get ridiculed because of their injury on the radio by a negro talk-show host who sings little songs about how sharks only eat White people , sure .",1
I saw his latest movie and was actually surprised that there were no blacks in it .,0
Restaurant - Summer Skadarlija `` Ima dana '' Restaurant-Winter Restaurants,0
They bred with inferiors creating these mongrels,1
The Lebanese are one of those who did the massacre at Sabra and Shattila under the direction of the Juden-state Israel .,0
"Me thinks Genesis is a negro who thinks he 's from the line of Adam.A troll , confused , black and prowling Stormfront.So make the Revelation Genesis - what are you really up to ?",1
More please .,0
"Happend the other day after class , the black was the one who backed down .",3
